"STÜVA in der Krone, Via Cumünela 2, La Punt-Chamues-ch, 7522, 瑞士"
"Wiesner Mysterion, Bramboden 6, Romoos, 6167, 瑞士"
"Agorà,Via Muro degli Ottevi 10, Brissago, 6614, 瑞士"
"Grotto della Salute,Via dei Sindacatori 2A, Massagno, 6900, 瑞士"
"Multertor,Am Multertor, Sankt Gallen, 9000, 瑞士"
"DAR,Gasometerstrasse 5, Zürich, 8005, 瑞士"
"Alpenblick, Dorfstr. 9, Adelboden, 3715, 瑞士"
"Postigliun,Via Principala 41, Andiast, 7159, 瑞士"
"Natürlich,Rue de la Coulouvrenière 38, Genève, 1204, 瑞士"
"Gül,Tellstrasse 22, Zürich, 8004, 瑞士"
"Le Lab by Adel & Niko,Route de la Crottaz 5, Corseaux, 1802, 瑞士"
"AuGust,Rennweg 7, Zürich, 8001, 瑞士"
"Fischerstube,Marktgasse 9, Weesen, 8872, 瑞士"
"Njørd café,Place du Marché 15, Aubonne, 1170, 瑞士"
"Asia,Via Moscia 4, Ascona, 6612, 瑞士"
"Bazaar,Riedweg 156, Zermatt, 3920, 瑞士"
"Lokal, Albrecht-Haller-Strasse 2, Biel, 2502, 瑞士"
"SALZANO,Seestrasse 108, Interlaken, 3800, 瑞士"
"Birdy's by Achtien,Axenstrasse 9, Brunnen, 6440, 瑞士"
"Alpenblick, Oberdorfstrasse 3, Wilderswil, 3812, 瑞士"
"Ô Bois Sauvage,Chemin des Mélèzes 26, Hérémence, 1987, 瑞士"
"Ivy 23,Rue Ancienne 23, Carouge, 1227, 瑞士"
"Zum Wilde Maa,Oetlingerstrasse 165, Basel, 4057, 瑞士"
"Stadthaus,Kirchbühl 2, Burgdorf, 3400, 瑞士"
"Bistrot du Lion d'Or,Rue Ancienne 53, Carouge, 1227, 瑞士"
"L'Agape,Rue Caroline 11, Genève, 1227, 瑞士"
"Blume,Freudwilerstrasse 6, Uster, 8615, 瑞士"
"Château de Pleujouse,Le Château 18, Pleujouse, 2953, 瑞士"
"Rathauskeller Bistro, Ober-Altstadt 1, Zug, 6300, 瑞士"
"16 ART, Mittelgässli 16, Saanen, 3792, 瑞士"
"PINOT,Steigstrasse 12, Fläsch, 7306, 瑞士"
"Casa Casutt, Glennerstrasse 18, Ilanz, 7130, 瑞士"
"La Fleur de Sel,Rue du Temple 10, Cossonay, 1304, 瑞士"
"Bistrot Dumas,Avenue Dumas 7, Genève, 1206, 瑞士"
"Restaurant Schlüssel, Oberdorfstrasse 5, Mels, 8887, 瑞士"
"Sonne,Dorf 2, Ebersecken, 6245, 瑞士"
"Moosegg,Moosegg 231A, Emmenmatt, 3543, 瑞士"
"Zum Alten Stephan,Friedhofplatz 10, Solothurn, 4500, 瑞士"
"Centrale,via Locarno 2, Losone, 6616, 瑞士"
