"Bären,Hauptstrasse 18, Utzenstorf, 3427, 瑞士"
"Restaurant du Quai,Le Quai 10, Hermance, 1248, 瑞士"
"Auberge de la Croix d'Or, Grande-Rue 18, Yens, 1169, 瑞士"
"Ma Poule, 2-19-17 Nishikata, Bunkyo-ku, Tokyo, 113-0024, 日本"
"Les six, 2F, 5-15-25 Minamiazabu, Minato-ku, Tokyo, 106-0047, 日本"
"Japanese Ramen Gokan, 2-57-2 Higashiikebukuro, Toshima-ku, Tokyo, 170-0013, 日本"
"BRASSERIE POISSON ROUGE, 1-53-8 Oi, Shinagawa-ku, Tokyo, 140-0014, 日本"
"le bistrot des bleus, 2F, EAT PLAY WORKS, 5-4-16 Hiro, Shibuya-ku, Tokyo, 150-0012, 日本"
"Fry, B1F, 1-32-11 Takadanobaba, Shinjuku-ku, Tokyo, 169-0075, 日本"
"YAKUMO, 3-6-15 Higashiyama, Meguro-ku, Tokyo, 153-0043, 日本"
"Hatsuogawa, 2-8-4 Kaminarimon, Taito-ku, Tokyo, 111-0034, 日本"
"Sushidokoro Shigeru, 15 Funamachi, Shinjuku-ku, Tokyo, 160-0006, 日本"
"Pot, 5-22-1 Hiro, Shibuya-ku, Tokyo, 150-0012, 日本"
"ROZZO SICILIA, 1-1-12 Shirokane, Minato-ku, Tokyo, 108-0072, 日本"
"Osobano Kouga, 2-14-5 Nishiazabu, Minato-ku, Tokyo, 106-0031, 日本"
"Tonkatsu Nanaido, 3-42-11 Jingumae, Shibuya-ku, Tokyo, 150-0001, 日本"
"Tempura Kakiage Yukimura, 6-13-13 Shimbashi, Minato-ku, Tokyo, 105-0004, 日本"
"Kinoshita, 3-37-1 Yoyogi, Shibuya-ku, Tokyo, 151-0053, 日本"
"REI, 10-8 Motoyoyogicho, Shibuya-ku, Tokyo, 151-0062, 日本"
"Watabe, 1-9-14 Koishikawa, Bunkyo-ku, Tokyo, 112-0002, 日本"
"Tachigui Sushi Tonari, 2F, 2-8-7 Azabujuban, Minato-ku, Tokyo, 106-0045, 日本"
"L'AMITIE, 2-9-12 Takadanobaba, Shinjuku-ku, Tokyo, 169-0075, 日本"
"Le cabaret, 8-8 Motoyoyogicho, Shibuya-ku, Tokyo, 151-0062, 日本"
"Edosoba Hosokawa, 1-6-5 Kamezawa, Sumida-ku, Tokyo, 130-0014, 日本"
"Le Monde Gourmand, 2-17-15 Midorigaoka, Meguro-ku, Tokyo, 152-0034, 日本"
"Ma Cuisine, B1F, 1-2-14 Nishiazabu, Minato-ku, Tokyo, 106-0031, 日本"
"Cristiano's, 1-51-10 Tomigaya Shibuya-ku, Tokyo, 151-0063, 日本"
"Mejiro Shunkotei, 2F, Trad Mejiro, 2-39-1 Mejiro, Toshima-ku, Tokyo, 171-0031, 日本"
"SOBAHOUSE KONJIKI HOTOTOGISU, 2-4-1 Shinjuku, Shinjuku-ku, Tokyo, 160-0022, 日本"
"there is ramen, 3-10-16 Amanuma, Suginami-ku, Tokyo, 167-0032, 日本"
"Les Copains de DOMINIQUE BOUCHET, B1F, 5-1-8 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"
"SUSHI KOURIN, B1F, 11-10 Kamiyamacho, Shibuya-ku, Tokyo, 150-0047, 日本"
"T'astous, 2-5-21 Minamiazabu, Minato-ku, Tokyo, 106-0047, 日本"
"Washokuya Taichi, 3-36-14 Kitasenzoku, Ota-ku, Tokyo, 145-0062, 日本"
"Tonkatsu Narikura, 4-33-9 Naritahigashi, Suginami-ku, Tokyo, 166-0015, 日本"
"Yakitori Abe, 3-3-4 Kamiosaki, Shinagawa-ku, Tokyo, 141-0021, 日本"
"Seki Hanare, 3-1-3 Setagaya, Setagaya-ku, Tokyo, 154-0017, 日本"
"BRAMASOLE, 3-42-5 Jingumae, Shibuya-ku, Tokyo, 150-0001, 日本"
"Torishige, 2-6-5 Yoyogi, Shibuya-ku, Tokyo, 151-0053, 日本"
"Tohakuan Karibe, 4-23-19 Kasuya, Setagaya-ku, Tokyo, 157-0063, 日本"
"Homemade Ramen Muginae, 6-11-10 Minamioi, Shinagawa-ku, Tokyo, 140-0013, 日本"
"grill GRAND, 3-24-6 Asakusa, Taito-ku, Tokyo, 111-0032, 日本"
"Yakitori SANKA, 2F, 64-4 Yaraicho, Shinjuku-ku, Tokyo, 162-0805, 日本"
"Ramen Break Beats, 4-21-19 Meguro, Meguro-ku, Tokyo, 153-0063, 日本"
"IRUCA TOKYO, 4-12-12 Roppongi, Minato-ku, Tokyo, 106-0032, 日本"
"Katchar Batchar, 2F, 3-2-10 Minamiotsuka, Toshima-ku, Tokyo, 170-0005, 日本"
"Kuhara, 2-25-38 Higashi, Shibuya-ku, Tokyo, 150-0011, 日本"
"Sasaki Seimenjo, 4-26-10 Nishiogikita, Suginami-ku, Tokyo, 167-0042, 日本"
"HARU CHAN Ramen, 1F, Shimbashi Ekimae Ichigokan, 2-20-15 Shimbashi, Minato-ku, Tokyo, 105-0004, 日本"
"wokotote, 2-35-1 Nezu, Bunkyo-ku, Tokyo, 113-0031, 日本"
"Tachiguisushi Sushikawa, 1-62-6 Sasazuka, Shibuya-ku, Tokyo, 151-0073, 日本"
"Katsuyoshi, 3-4-11 Nihombashiningyocho, Chuo-ku, Tokyo, 103-0013, 日本"
"roku, 4-1-6 Yoyogi, Shibuya-ku, Tokyo, 151-0053, 日本"
"Sushi Yoshino, B1F, 2-30-2 Chuo, Nakano-ku, Tokyo, 164-0011, 日本"
"Soba Osame, 3-21-5 Shimochiai, Shinjuku-ku, Tokyo, 161-0033, 日本"
"Ginza Katsukami, 5F, 5-6-10 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"
"BISTRO GLOUTON, 2-33-7 Ikejiri, Setagaya-ku, Tokyo, 154-0001, 日本"
"LA BETTOLA da Ochiai, 1-21-2 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"
"Negima, B1F, 2-31-19 Kitaotsuka, Toshima-ku, Tokyo, 170-0004, 日本"
"Ponta Honke, 3-23-3 Ueno, Taito-ku, Tokyo, 110-0005, 日本"
"CHARCUT, B1F, 1-11-5 Toranomon, Minato-ku, Tokyo, 105-0001, 日本"
"Sharikimon Chawambu, 3-22 Arakicho, Shinjuku-ku, Tokyo, 160-0007, 日本"
"Meishan, 37-39 Yokoteramachi, Shinjuku-ku, Tokyo, 162-0831, 日本"
"TRATTORIA BUCA'MASSIMO, 1-24-11 Tomioka, Koto-ku, Tokyo, 135-0047, 日本"
"Mochibuta Tonkatsu Taiyo, 3-22-7 Koyama, Shinagawa-ku, Tokyo, 142-0062, 日本"
"Tonkatsu Enraku, 6-1-4 Ikegami, Ota-ku, Tokyo, 146-0082, 日本"
"Tonkatsu Hinata, 2-13-9 Takadanobaba, Shinjuku-ku, Tokyo, 169-0075, 日本"
"Onigiri Asakusa Yadoroku, 3-9-10 Asakusa, Taito-ku, Tokyo, 111-0032, 日本"
"Matsunozushi, 2-16-12 Minaminagasaki, Toshima-ku, Tokyo, 171-0052, 日本"
"Lien, 3-5-22 Ikejiri, Setagaya-ku, Tokyo, 154-0001, 日本"
"LANBRoA, 3-11-15 Yoga, Setagaya-ku, Tokyo, 158-0097, 日本"
"Los Reyes Magos, 5-55-7 Yoyogi, Shibuya-ku, Tokyo, 151-0053, 日本"
"Hamacho Kaneko, 3-7-3 Nihombashihamacho, Chuo-ku, Tokyo, 103-0007, 日本"
"Hashimoto, 2-5-7 Suido, Bunkyo-ku, Tokyo, 112-0005, 日本"
"jeeten, 3-2-3 Nishihara, Shibuya-ku, Tokyo, 151-0066, 日本"
"L'AS, 4-16-3 Minamiaoyama, Minato-ku, Tokyo, 107-0062, 日本"
"Tensuke, 3-22-7 Koenjikita, Suginami-ku, Tokyo, 166-0002, 日本"
"Le Nougat, 6-12-2 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"
"Shiosoba Jiku, 4-14-7 Takaidohigashi, Suginami-ku, Tokyo, 168-0072, 日本"
"Sushi Mikata, 4-1-4 Mita, Minato-ku, Tokyo, 108-0073, 日本"
"Hakodate Shioramen Goryokaku, 3-28-7 Amanuma, Suginami-ku, Tokyo, 167-0032, 日本"
"RAMEN MATSUI, 4-25-10 Yotsuya, Shinjuku-ku, Tokyo, 160-0004, 日本"
"Chukasoba Ginza Hachigou, 3-14-2 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"
"noura, 4-10-6 Asakusa, Taito-ku, Tokyo, 111-0032, 日本"
"Asakusa Hirayama, 1-3-14 Nishiasakusa, Taito-ku, Tokyo, 111-0035, 日本"
"Tompachitei, 4-3-4 Ueno, Taito-ku, Tokyo, 110-0005, 日本"
"IL BALLOND'ORO, 1-24-10 Ebisu, Shibuya-ku, Tokyo, 150-0013, 日本"
"AUDACE, 3-8-1 Kamimeguro, Meguro-ku, Tokyo, 153-0051, 日本"
"sugahara, 2F, 2-14-1 Kotobashi, Sumida-ku, Tokyo, 130-0022, 日本"
"AlCeppo, 2F, 1-25-32 Shirokane, Minato-ku, Tokyo, 108-0072, 日本"
"DIALOGUE, 3-23-21 Kitazawa, Setagaya-ku, Tokyo, 155-0031, 日本"
"YAMATO, 16-3 Nihombashitomizawacho, Chuo-ku, Tokyo, 103-0006, 日本"
"Chukasoba KOTETSU, 2-39-13 Kitazawa, Setagaya-ku, Tokyo, 155-0031, 日本"
"Ittoan, 2-16-10 Higashijujo, Kita-ku, Tokyo, 114-0001, 日本"
"LAUBURU, 6-8-18 Minamiaoyama, Minato-ku, Tokyo, 107-0062, 日本"
