Moose (Changning),No.1, Lane 119, Xinhua Road, Changning, Shanghai, 中國
Phénix,2F, The PuLi, 1 Changde Road, Jingan, Shanghai, 中國
Fu 1088,375 Zhenning Road, Jingan, Shanghai, 中國
Amazing Chinese Cuisine (Changning),B5 Villa, 1665 Hongqiao Road, Changning, Shanghai, 中國
Oriental Sense & Palate,57 Sinan Road, Huangpu, Shanghai, 中國
Ming Court,Level B1, Cordis Hotel, 333 Shenhong Road, Minhang, Shanghai, 中國
Canton Table,5F, Bund 3, 3 Zhongshan Dong Yi Road, Huangpu, Shanghai, 中國
Obscura,Tangxiang Cultural Space, 538 Xikang Road, Jingan, Shanghai, 中國
Da Dong (Xuhui),Shop 602, 6F, iapm, 999 Middle Huaihai Road, Xuhui, Shanghai, 中國
Cheng Long Hang (Huangpu),216 Jiujiang Road, Huangpu, Shanghai, 中國
Le Comptoir de Pierre Gagnaire,Capella, Jian Ye Li, 480 West Jianguo Road, Xuhui, Shanghai, 中國
Lao Zheng Xing,556 Fuzhou Road, Huangpu, Shanghai, 中國
Yong Yi Ting,LG Level, Mandarin Oriental Pudong, 111 South Pudong Road, Pudong, Shanghai, 中國
Gastro Esthetics at DaDong,5F, Park Place, 1601 West Nanjing Road, Jingan, Shanghai, 中國
Jin Xuan, 53F, The Ritz-Carlton Pudong, 8 Century Avenue, Pudong, Shanghai, 中國
Yong Fu (Huangpu),12F, Cathay Building, Jin Jiang Hotel, 59 South Maoming Road, Huangpu, Shanghai, 中國
Fu 1015,1015 Yuyuan Road, Changning, Shanghai, 中國
Yi Long Court,2F, The Peninsula Hotel, Bund 32, 32 Zhongshan Dong Yi Road, Huangpu, Shanghai, 中國
Lu Style (Huangpu),Room 207, 2F, Uni Elite, Lane 838, South Huangpi Road, Huangpu, Shanghai, 中國
Xin Rong Ji (West Nanjing Road),2F, 688 Plaza, 688 West Nanjing Road, Jingan, Shanghai, 中國
YongFoo Élite,200 Yongfu Road, Xuhui, Shanghai, 中國
Yue Hai Tang,Vi Park, 161 Haowen Road, Minhang, Shanghai, 中國
T'ang Court,5F, The Langham, 99 Madang Road, Huangpu, Shanghai, 中國
Narisawa, L7-05, 1000Trees, 600 Moganshan Road, Putuo, Shanghai, 中國
EHB,11 Dongping Road, Xuhui, Shanghai, 中國
Tou Zao,Shop 211, East Wing, Shanghai Centre, 1376 West Nanjing Road, Jingan, Shanghai, 中國
Wu You Xian, Room 1-103, 7 South Maoming Road, Huangpu, Shanghai, 中國
Lei Garden (Xuhui),Shop 401, 4F, iapm, 999 Middle Huaihai Road, Xuhui, Shanghai, 中國
Lei Garden (Pudong), L3-17 & 18, IFC Mall, 8 Century Avenue, Pudong, Shanghai, 中國
Yong Fu (Hongkou),56F, East Tower, Raffles City The Bund, 1089 Dongdaming Road, Hongkou, Shanghai, 中國
Ren He Guan (Xuhui),407 Zhaojiabang Road, Xuhui, Shanghai, 中國
Molina,51F, THE FACE Style, 1020 Jalan Sultan Ismail, Kampung Baru, Kuala Lumpur, 50250, 馬來西亞
Ling Long,105, 1F, Waldorf Astoria Hotel, 2 Zhongshan Dong Yi Road, Huangpu, Shanghai, 中國
DC. by Darren Chin,44 Persiaran Zaaba, Taman Tun Dr Ismail, Kuala Lumpur, 60000, 馬來西亞
Musaafer, 5115 Westheimer Rd., Ste. C-3500, Houston, 77056, 美國
Abbruzzino Oltre,Piazza Salvo d'Acquisto 16, Lamezia Terme, 88046, 義大利
Pascucci al Porticciolo,viale Traiano 85, angolo via Fiumara 2, Fiumicino, 00054, 義大利
San Giorgio,viale Brigate Bisagno 69r, Genova, 16129, 義大利
Zash,SP 2 I/II 60, Archi, 95018, 義大利
La Ciau del Tornavento,piazza Leopoldo Baracco 7, Treiso, 12050, 義大利
Al Sorriso,via Roma 18, Soriso, 28010, 義大利
Il Luogo Aimo e Nadia,via Montecuccoli 6, Milano, 20147, 義大利
Balzi Rossi,via Balzi Rossi 2, Ventimiglia, 18039, 義大利
Dolada,via Dolada 21, località Plois alt. 870, Pieve d'Alpago, 32010, 義大利
La Magnolia,viale Morin 46, Forte dei Marmi, 55042, 義大利
Il Buco,II rampa Marina Piccola 5, Sorrento, 80067, 義大利
San Martino,piazza Cappelletto 1, località Rio San Martino, Scorzè, 30037, 義大利
La Locanda del Borgo,località Monte Pugliano 1, Telese, 82037, 義大利
Osteria Arbustico,via Francesco Gregorio 40, Paestum, 84047, 義大利
Locanda Don Serafino,via Avv. Ottaviano 13, Ragusa, 97100, 義大利
Locanda Mammì,contrada Castelnuovo 86, Agnone, 86081, 義大利
Shalai,via Guglielmo Marconi 25, Linguaglossa, 95015, 義大利
Il Fagiano,corso Zanardelli 190, Fasano del Garda, 25083, 義大利
L'Argine a Vencò,Località Vencò 15, Dolegna del Collio, 34070, 義大利
Bros',via degli Acaja 2, Lecce, 73100, 義大利
Il Cantinone e Sport Hotel Alpina,via A. De Giacomi 39, Madesimo, 23024, 義大利
21.9,Località Carretta 4, Piobesi d'Alba, 12040, 義大利
Ca' Matilde,via Polita 14, Rubbianino, 42020, 義大利
Aroma,via Labicana 125, Roma, 00184, 義大利
Dolomieu,via Castelletto Inferiore 10, Madonna di Campiglio, 38086, 義大利
Re Maurì,via Benedetto Croce, Salerno, 84121, 義大利
Vitantonio Lombardo,via Madonna delle Virtù 13/14, Matera, 75100, 義大利
Signum,via Scalo, Malfa, 98050, 義大利
Sud,via Santi Pietro e Paolo 8, Quarto, 80010, 義大利
La Capinera,via Nazionale 177, località Spisone, Taormina, 98039, 義大利
Relais Blu,via Roncato 60, Massa Lubrense, 80061, 義大利
All'Oro,via Giuseppe Pisanelli 25, Roma, 00196, 義大利
Villa Maiella,via Sette Dolori 30, località Villa Maiella, Guardiagrele, 66016, 義大利
Lido 84,corso Zanardelli 196, Fasano del Garda, 25083, 義大利
I Castagni,via Ottobiano 8/20, Vigevano, 27029, 義大利
Alpenroyal Gourmet,via Meisules 43, Selva di Val Gardena, 39048, 義大利
Ca' Vittoria,via Roma 14, Tigliole, 14016, 義大利
Antonello Colonna Labico,via di Valle Fredda 52, Labico, 00030, 義大利
Lux Lucis,viale A. Morin 67, Forte dei Marmi, 55042, 義大利
Antica Corte Pallavicina,strada del Palazzo Due Torri 3, Polesine Parmense, 43016, 義大利
Bistrot,viale Franceschi 14, Forte dei Marmi, 55042, 義大利
La Bandiera,contrada Pastini 4, Civitella Casanova, 65010, 義大利
Don Alfonso 1890,corso Sant'Agata 11, Sant'Agata sui Due Golfi, 80061, 義大利
Il Pellicano,località Lo Sbarcatello, Porto Ercole, 58018, 義大利
Italo Bassi Confusion Restaurant,via Aga Khan 1, Promenade du Port, Porto Cervo, 07021, 義大利
Porta di Basso,via Colombo 38, Peschici, 71010, 義大利
La Speranzina Restaurant & Relais,via Dante 16, Sirmione, 25019, 義大利
Osteria di Passignano,via Passignano 33, Passignano, 50028, 義大利
Alto,via Circondariale San Francesco 2, Fiorano Modenese, 41042, 義大利
Silene,Località Pescina 9, Seggiano, 58038, 義大利
I Portici,via dell'Indipendenza 69, Bologna, 40121, 義大利
Taverna del Capitano,piazza delle Sirene 10/11, Marina del Cantone, 80061, 義大利
Il Visibilio,SP 9 di Pievasciata 32, Castelnuovo Berardenga, 53019, 義大利
Cannavacciuolo Countryside,via Ticciano 137, Ticciano, 80069, 義大利
Glicine,via Mauro Comite 9, Amalfi, 84011, 義大利
Alici,via Giovanni Augustariccio 33, Amalfi, 84011, 義大利
Il Piastrino,via Parco Begni 7, Pennabilli, 47864, 義大利
Massimo Camia, SP3 Alba-Barolo 122, La Morra, 12064, 義大利
Luisl Stube,via Venosta 4, Lagundo, 39022, 義大利
Arnaldo, piazza XXIV Maggio 3, Rubiera, 42048, 義大利
La Primula,via San Rocco 47, San Quirino, 33080, 義大利
Don Alfonso 1890 San Barbato,SS 93, km 56,300, Lavello, 85024, 義大利
Il Refettorio,via Roma 2, Conca dei Marini, 84010, 義大利
Volta del Fuenti by Michele De Blasio,SS 163 Amalfitana km 47,300, Vietri sul Mare, 84019, 義大利
Il Saraceno,piazza Don Verdelli 2, Cavernago, 24050, 義大利
Il Poggio Rosso,località San Felice, Castelnuovo Berardenga, 53019, 義大利
Cannavacciuolo Vineyard,via del Teatro 8, Casanova di Terricciola, 56030, 義大利
Gusto by Sadler,via Tavolara, località Lu Fraili di Sotto, San Teodoro, 07052, 義大利
Caracol,via Faro 44, località Capo Miseno, Bacoli, 80070, 義大利
Marco Bottega Ristorante,via Trovano 3, Genazzano, 00030, 義大利
Locanda de Banchieri,via Porredo 32, Fosdinovo, 54035, 義大利
Wistèria,fondamenta del Forner, sestiere San Polo 2908, Venezia, 30125, 義大利
Dattilo,Contrada Dattilo, Strongoli, 88816, 義大利
Hyle,contrada Torre Garga SS 107, San Giovanni in Fiore, 87055, 義大利
Trattoria da Amerigo,via Marconi 16, Savigno, 40060, 義大利
Trattoria al Cacciatore, via Subida 52, Cormons, 34071, 義大利
Sapio,piazza Antonino Gandolfo 11, Catania, 95131, 義大利
Casa Vissani,vocabolo Cannitello, Baschi, 05023, 義大利
Ristorante del Lago,via Acquapartita 147, Bagno di Romagna, 47021, 義大利
Il Sereno Al Lago,via Torrazza 10, Torno, 22020, 義大利
Contrada,località Monastero d'Ombrone 19, Castelnuovo Berardenga, 53019, 義大利
Principe Cerami,piazza San Domenico 5, Taormina, 98039, 義大利
Il Bavaglino,via dei Mille 2/b, Terrasini, 90049, 義大利
Il Falconiere,Località San Martino a Bocena 370, San Martino, 52044, 義大利
Locanda del Pilone,frazione Madonna di Como 34, Alba, 12051, 義大利
L'Asinello,via Nuova 6, località Villa a Sesta, Castelnuovo Berardenga, 53019, 義大利
99 Sushi Bar,L1, The Galleria, Four Seasons Al Maryah Island Hotel, 阿布達比
Bad Balgach by Schützelhofer,Hauptstrasse 73, Balgach, 9435, 瑞士
Du Cerf,Rue du Collège 4, Sonceboz, 2605, 瑞士
Les Montagnards, Rue de Montsalvens 4, Broc, 1636, 瑞士
The Japanese by The Chedi at Gütsch,Gotthardstrasse 4, Andermatt, 6490, 瑞士
Wiesner Mysterion, Bramboden 6, Romoos, 6167, 瑞士
Alpenblick,Oberdorfstrasse 3, Wilderswil, 3812, 瑞士
Sternen, Sennhüttestrasse 1, Wangen bei Dübendorf, 8602, 瑞士
Gasthaus Zum Gupf,Gupf 21, Rehetobel, 9038, 瑞士
L'OURS, Route du Pas de l'Ours 41, Crans-Montana, 3963, 瑞士
Château Attisholz, Attisholzstrasse 3, Riedholz, 4533, 瑞士
Restaurant de l'Hôtel de Ville, Place de l'Hôtel-de-Ville 3, Ollon, 1867, 瑞士
Gasthaus zum Kreuz, Stettlistrasse 3, Dallenwil, 6383, 瑞士
THE VIEW,Via Guidino 29, Lugano, 6900, 瑞士
LA CHAVALLERA in der Krone, Via Cumünela 2, La Punt-Chamues-ch, 7522, 瑞士
Le Chat, Quai du Mont-Blanc 13, Genève, 1201, 瑞士
Löwen, Wolfhauserstrasse 2, Bubikon, 8608, 瑞士
Jägerhof,Brühlbleichestrasse 11, Sankt Gallen, 9000, 瑞士
Auberge de la Croix Blanche,Route de Donatyre 22, Villarepos, 1583, 瑞士
F.P. Journe, Rue du Rhône 49, Genève, 1200, 瑞士
Tour D'argent Tokyo, Lobby floor, Hotel New Otani Tokyo (The Main), 4-1 Kioicho, Chiyoda-ku, Tokyo, 102-8578, 日本
Chesa Stüva Colani,Via Principela 20 A, Madulain, 7523, 瑞士
Gasthaus zum Kreuz, Stettlistrasse 3, Dallenwil, 6383, 瑞士
Koshikiryori Koki, 2-13-6 Nishishimbashi, Minato-ku, Tokyo, 105-0003, 日本
Piao, 5-19-1 Hiro, Shibuya-ku, Tokyo, 150-0012, 日本
Towa, 2F, 4-11-25 Nishiazabu, Minato-ku, Tokyo, 106-0031, 日本
Yotsuya Minemura, 2F, 3-21 Arakicho, Shinjuku-ku, Tokyo, 160-0007, 日本
