"Canton 8 (Huangpu),""63 Runan Street, Huangpu, Shanghai, 中國"""
"Ji Pin Court,""3F, 55 South Wulumuqi Road, Xuhui, Shanghai, 中國"""
"102 House,""5F, The House of Roosevelt, Bund 27, 27 Zhongshan Dong Yi Road, Huangpu, Shanghai, 中國"""
"8 ½ Otto e Mezzo Bombana, ""6-7F, Associate Mission Building, 169 Yuanmingyuan Road, Huangpu, Shanghai, 中國"""
"Fu He Hui,""1037 Yuyuan Road, Changning, Shanghai, 中國"""
"Da Vittorio,""3F, N3 Building, The Bund Finance Centre, 600 Zhongshan Dong Er Road, Huangpu, Shanghai, 中國"""
"The House of Rong,""170 Nanyang Road, Jingan, Shanghai, 中國"""
"Bao Li Xuan,""3F, Chamber of Commerce Shanghai, Lane 108, North Shanxi Road, Jingan, Shanghai, 中國"""
"Dewakan,""48F, Skyviews, Naza Tower, Platinum Park, 10 Persiaran KLCC, Kuala Lumpur, 50088, 馬來西亞"""
"Imperial Treasure Fine Chinese Cuisine, ""L402-403, 4F, Yi Feng Galleria, 99 East Beijing Road, Huangpu, Shanghai, 中國"""
"Arnolfo,""viale della Rimembranza 24, Colle di Val d'Elsa, 53034, 義大利"""
"Torre del Saracino,""via Torretta 9, Vico Equense, 80069, 義大利"""
"Duomo,""via Cap. Bocchieri 31, Ragusa, 97100, 義大利"""
"Agli Amici,""via Liguria 252, Godia, 33100, 義大利"""
"Harry's Piccolo,""piazza Unità d'Italia 2, Trieste, 34121, 義大利"""
"Seta by Antonio Guida,""via Andegari 9, Milano, 20121, 義大利"""
"La Madia,""corso Filippo Re Capriata 22, Licata, 92027, 義大利"""
"St. George by Heinz Beck,""viale San Pancrazio 46, Taormina, 98039, 義大利"""
"La Rei Natura by Michelangelo Mammoliti,""via Roddino 21, Serralunga d'Alba, 12050, 義大利"""
"Campo del Drago,""Località Castiglion del Bosco, Montalcino, 53024, 義大利"""
"Caino,""via della Chiesa 4, Montemerano, 58014, 義大利"""
"Madonnina del Pescatore,""via Lungomare Italia 11, Marzocca, 60019, 義大利"""
"Villa Feltrinelli,""via Rimembranza 38/40, Gargnano, 25084, 義大利"""
"Castel fine dining,""vicolo dei Castagni 18, Tirolo, 39019, 義大利"""
"La Peca,""via Alberto Giovanelli 2, Lonigo, 36045, 義大利"""
"San Domenico,""via Sacchi 1, Imola, 40026, 義大利"""
"Enoteca La Torre,""lungotevere delle Armi 22/23, Roma, 00195, 義大利"""
"Il Pagliaccio,""via dei Banchi Vecchi 129/a, Roma, 00186, 義大利"""
"Locanda Sant'Uffizio Enrico Bartolini,""strada Sant'Uffizio 1, Cioccaro, 14030, 義大利"""
"daní maison,""via Montetignuso 4, Ischia, 80077, 義大利"""
"Taverna Estia,""via Guido De Ruggiero 108, Brusciano, 80031, 義大利"""
"Terra The Magic Place,""località Prati 21, Sarentino, 39058, 義大利"""
"Santa Elisabetta,""piazza Santa Elisabetta 3, Firenze, 50122, 義大利"""
"Krèsios,""via San Giovanni 59, Telese, 82037, 義大利"""
"Verso Capitaneo,""piazza del Duomo 21, Milano, 20121, 義大利"""
"Il Piccolo Principe,""piazza Giacomo Puccini 1, Viareggio, 55049, 義大利"""
"Antica Corona Reale,""via Fossano 13, Cervere, 12040, 義大利"""
"Antica Osteria Cera,""via Marghera 24, Lughetto, 30010, 義大利"""
"Acquolina,""via del Vantaggio 14, Roma, 00186, 義大利"""
"D'O,""piazza della Chiesa 14, loc. San Pietro all'Olmo, Cornaredo, 20007, 義大利"""
"Andrea Aprea,""corso Venezia 52, Milano, 20122, 義大利"""
"L'Olivo,""via Capodimonte 14, Anacapri, 80071, 義大利"""
"Glam Enrico Bartolini,""calle Tron, sestiere Santa Croce 1961, Venezia, 30135, 義大利"""
"Miramonti l'Altro,""via Crosette 34, località Costorio, Concesio, 25062, 義大利"""
"Villa Elena,""via San Vigilio 56, Bergamo, 24129, 義大利"""
"George Restaurant,""corso Vittorio Emanuele 135, Napoli, 80121, 義大利"""
"Colonnade,""Haldenstrasse 10, Luzern, 6002, 瑞士"""
"Piazzetta Milù,""corso Alcide De Gasperi 23, Castellammare di Stabia, 80053, 義大利"""
"Magnolia,""via Pelliciano 35, loc. Montilgallo, Longiano, 47020, 義大利"""
"La Table du Valrose,""Place de la Gare 2, Rougemont, 1659, 瑞士"""
"Magdalena,""Rickenbachstrasse 127, Schwyz, 6432, 瑞士"""
"L'Atelier Robuchon,""Quai Wilson 37, Genève, 1201, 瑞士"""
"The Japanese Restaurant,""Gotthardstrasse 4, Andermatt, 6490, 瑞士"""
"La Table du Lausanne Palace,""Rue du Grand Chêne 7, Lausanne, 1002, 瑞士"""
"Maison Wenger,""Rue de la Gare 2, Le Noirmont, 2340, 瑞士"""
"La Brezza,""via Albarelle 16, Ascona, 6612, 瑞士"""
"Skin's, ""Dammweg 15b, Lenzburg, 5600, 瑞士"""
"Da Vittorio, ""Via Johannes Badrutt 11, Sankt Moritz, 7500, 瑞士"""
"Mammertsberg,""Bahnhofstrasse 28, Freidorf, 9306, 瑞士"""
"La Brezza,""Tschuggentorweg 1, Arosa, 7050, 瑞士"""
"The Restaurant,""Kurhausstrasse 65, Zürich, 8000, 瑞士"""
"IGNIV by Andreas Caminada, ""Bernhard-Simon-Strasse 2, Bad Ragaz, 7310, 瑞士"""
"Einstein Gourmet,""Berneggstrasse 2, Sankt Gallen, 9000, 瑞士"""
"Widder Restaurant,""Rennweg 7, Zürich, 8001, 瑞士"""
"The Counter,""Bahnhofplatz 15, Zürich, 8001, 瑞士"""
"IGNIV Zürich by Andreas Caminada,""Marktgasse 17, Zürich, 8001, 瑞士"""
"7132 Silver,""Poststrasse 560, Vals, 7132, 瑞士"""
"roots,""Mühlhauserstrasse 17, Basel, 4056, 瑞士"""
"Pic Beau, ""Place du Port 17, Lausanne, 1006, 瑞士"""
"Ecco St. Moritz,""Via Maistra 3, Sankt Moritz, 7512, 瑞士"""
"PIERRE GAGNAIRE, ""36F, ANA InterContinental Tokyo, 1-12-33 Akasaka, Minato-ku, Tokyo, 107-0052, 日本"""
"Taverne zum Schäfli,""Oberdorfstrasse 8, Wigoltingen, 8556, 瑞士"""
"focus ATELIER,""Seestrasse 18, Vitznau, 6354, 瑞士"""
"Myojaku, ""B1F, 3-2-34 Nishiazabu, Minato-ku, Tokyo, 106-0031, 日本"""
