"Casa Perbellini 12 Apostoli,""vicolo Corticella San Marco 3, Verona, 37121, 義大利"""
"Uliassi,""banchina di Levante 6, Senigallia, 60019, 義大利"""
"Enrico Bartolini al Mudec,""via Tortona 56, Milano, 20144, 義大利"""
"Quattro Passi,""via Vespucci 13/n, Marina del Cantone, 80061, 義大利"""
"Le Calandre,""via Liguria 1, località Sarmeola, Rubano, 35030, 義大利"""
"Enoteca Pinchiorri,""via Ghibellina 87, Firenze, 50122, 義大利"""
"Ultraviolet by Paul Pairet, ""'somewhere in Shanghai' - meet at Mr & Mrs Bund restaurant - 6F, Bund 18, 18 Zhongshan Dong Yi Road, Huangpu, Shanghai, 中國"""
"Villa Crespi,""via Fava 18, Orta San Giulio, 28016, 義大利"""
"Atelier Moessmer Norbert Niederkofler,""via Walther Von der Vogelweide 17, Brunico, 39031, 義大利"""
"Taian Table, ""101-102, Building No. 1, Garden Office, No.161, Lane 465, Zhenning Road, Changning, Shanghai, 中國"""
"Reale,""contrada Santa Liberata, località Casadonna, Castel di Sangro, 67031, 義大利"""
"La Pergola,""via Cadlolo 101, Roma, 00136, 義大利"""
"Da Vittorio,""via Cantalupa 17, Brusaporto, 24060, 義大利"""
"Piazza Duomo,""vicolo dell'Arco 1, angolo piazza Risorgimento 4, Alba, 12051, 義大利"""
"Restaurant de l'Hôtel de Ville,""Rue d'Yverdon 1, Crissier, 1023, 瑞士"""
"Dal Pescatore,""località Runate 15, Runate, 46013, 義大利"""
"Kanda, ""1F, Toranomon Hills Residential Tower, 1-1-1 Atago, Minato-ku, Tokyo, 105-0002, 日本"""
"Sven Wassmer Memories, ""Bernhard-Simon-Strasse 2, Bad Ragaz, 7310, 瑞士"""
"Azabu Kadowaki, ""2-7-2 Azabujuban, Minato-ku, Tokyo, 106-0045, 日本"""
"Schloss Schauenstein,""Schlossgass 77, Fürstenau, 7414, 瑞士"""
"Osteria Francescana,""via Stella 22, Modena, 41121, 義大利"""
"Cheval Blanc by Peter Knogl,""Blumenrain 8, Basel, 4001, 瑞士"""
"Harutaka, ""6F, 8-3-1 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"Kohaku, ""3-5-5 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, 日本"""
"L'OSIER, ""7-5-5 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"SÉZANNE, ""7F, Four Seasons Hotel Tokyo at Marunouchi, 1-11-1 Marunouchi, Chiyoda-ku, Tokyo, 100-6277, 日本"""
"Kagurazaka Ishikawa, ""5-37 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, 日本"""
"Quintessence, ""1F, Garden City Shinagawa Gotenyama, 6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo, 141-0001, 日本"""
"Sazenka, ""4-7-5 Minamiazabu, Minato-ku, Tokyo, 106-0047, 日本"""
"L'Effervescence, ""2-26-4 Nishiazabu, Minato-ku, Tokyo, 106-0031, 日本"""
"RyuGin, ""7F, Tokyo Midtown Hibiya, 1-1-2 Yurakucho, Chiyoda-ku, Tokyo, 100-0006, 日本"""
"Joël Robuchon, ""Yebisu Garden Place, 1-13-1 Mita, Meguro-ku, Tokyo, 153-0062, 日本"""
"Chao Shang Chao (Chaoyang),""L406B, 4F, CP Center, 20 Jinhe East Road, Chaoyang, Beijing, 中國"""
"De Librije,""Spinhuisplein 1, Zwolle, 8011 ZZ, 荷蘭"""
"態芮,""中山區樂群三路299號6樓, Taipei, 104, 臺灣"""
"JL Studio,""南屯區益豐路四段689號2樓, Taichung, 408, 臺灣"""
"Xin Rong Ji (Xinyuan South Road),""1F, East Tower, Genesis Beijing, 8 Xinyuan South Road, Chaoyang, Beijing, 中國"""
"頤宮,""大同區承德路一段3號17樓 (君品酒店), Taipei, 103, 臺灣"""
"Atelier Crenn,""3127 Fillmore St., San Francisco, 94123, 美國"""
"Addison,""5200 Grand Del Mar Way, San Diego, 92130, 美國"""
"Zén,""41 Bukit Pasoh Road, Singapore, 089855, 新加坡"""
"The French Laundry,""6640 Washington St., Yountville, 94599, 美國"""
"SingleThread,""131 North St., Healdsburg, 95448, 美國"""
"Quince,""470 Pacific Ave., San Francisco, 94133, 美國"""
"Hiša Franko,""Staro selo 1, Kobarid, 5222, 斯洛維尼亞"""
"Les Amis, ""Shaw Centre, #01-16, 1 Scotts Road, Singapore, 228208, 新加坡"""
"Benu,""22 Hawthorne St., San Francisco, 94105, 美國"""
