"Tasty Congee & Noodle Wantun Shop, ""S-B1-05, Stone Zone, Taikoo Li Qiantan, Lane 500, Dongyu Road, Pudong, Shanghai, 中國"""
"Nanxiang Steamed Bun (Yuyuan Road),""85 Yuyuan Road, City God Temple, Huangpu, Shanghai, 中國"""
"Qiao Ai Lai Lai Xiao Long (Huangpu),""506 Tianjin Road, Huangpu, Shanghai, 中國"""
"Polux,""No. 5, Xintiandi Beili, Lane 181, Taicang Road, Huangpu, Shanghai, 中國"""
"Rong Cuisine, ""1-2F, 128 Taicang Road, Huangpu, Shanghai, 中國"""
"The Commune Social,""511 Jiangning Road, Jingan, Shanghai, 中國"""
"A Niang Mian Guan,""36 Sinan Road, Huangpu, Shanghai, 中國"""
"Mao Long,""134 Jinxian Road, Huangpu, Shanghai, 中國"""
"Yangzhou Fan Dian (Huangpu),""345 Middle Fujian Road, Huangpu, Shanghai, 中國"""
"Cong's Kitchen,""158 Luhe Road, Huangpu, Shanghai, 中國"""
"Jingmei Wuxi Noodles (Jingan),""128 Yanping Road, Jingan, Shanghai, 中國"""
"Lan Xin (Jinxian Road),""130 Jinxian Road, Huangpu, Shanghai, 中國"""
"YongFu Mini (Pudong),""Shop 910, 9F, L+Mall, 899 South Pudong Road, Pudong, Shanghai, 中國"""
"Mi Thai,""2F, 195 Anfu Road, Xuhui, Shanghai, 中國"""
"Lao Di Fang Mian Guan,""107 Sinan Road, Huangpu, Shanghai, 中國"""
"Ho Hung Kee,""L324, South Building, HKRI Taikoo Hui, 288 Shimen Yi Road, Jingan, Shanghai, 中國"""
"The Lakeside Veggie, ""L2-016-017, Sunny Walk, 230 Ruiping Road, Xuhui, Shanghai, 中國"""
"Hao Sheng,""156 Guangyuan Road, Xuhui, Shanghai, 中國"""
"Xiao Tao Mian Guan,""222 Jiashan Road, Xuhui, Shanghai, 中國"""
"Rongjia Noodles Soup with Yellow Croaker (Jingan), ""L105A-1, 688 Plaza, 688 West Nanjing Road, Jingan, Shanghai, 中國"""
"Lu Bo Lang,""115 Yuyuan Old Street, City God Temple, Huangpu, Shanghai, 中國"""
"Wang Lu, ""01-02, 3F, New Bund 31 Mall, No.15, Lane 666, West Haiyang Road, Pudong, Shanghai, 中國"""
"Easeful Cuisine (Jingan),""2F, 90 South Shaanxi Road, Jingan, Shanghai, 中國"""
"Gong De Lin (West Nanjing Road),""445 West Nanjing Road, Huangpu, Shanghai, 中國"""
"Chun,""124 Jinxian Road, Huangpu, Shanghai, 中國"""
"Yu Ge Zhanjiang (Jingan),""358 West Yan'an Road, Jingan, Shanghai, 中國"""
"Da Hu Chun (Middle Sichuan Road),""136 Middle Sichuan Road, Huangpu, Shanghai, 中國"""
"Yu Du Lao Wei Mian (Huangpu),""501 Liyuan Road, Huangpu, Shanghai, 中國"""
"Chic 1699,""L807, 8F, Times Square, 500 Zhangyang Road, Pudong, Shanghai, 中國"""
"Yunhe Noodle (Huangpu),""344 Changle Road, Huangpu, Shanghai, 中國"""
"Leen's,""1F, 136A Jalan Burhanuddin Helmi, Taman Tun Dr Ismail, Kuala Lumpur, 60000, 馬來西亞"""
"Laksalicious,""117A Jalan Hutton, George Town, 10050, 馬來西亞"""
"Penang Road Famous Jin Kor Char Kuey Teow,""Joo Hooi Cafe, 475 Jalan Penang, George Town, 10000, 馬來西亞"""
"Siam Road Char Koay Teow,""82 Jalan Siam, George Town, 10400, 馬來西亞"""
"Lum Lai Duck Meat Koay Teow Th'ng,""Pasar Lebuh Cecil, 24 Lebuh Cecil, George Town, 10300, 馬來西亞"""
"Sister Yao’s Char Koay Kak,""96 Lorong Macalister, George Town, 11400, 馬來西亞"""
"Roti by d'Tandoor,""82 Jalan Damai, off Jalan Ampang, Kampung Datuk Keramat, Kuala Lumpur, 55000, 馬來西亞"""
"Hor Poh Cuisine,""36 Jalan 6/38D, Taman Sri Sinar, Segambut, Kuala Lumpur, 52100, 馬來西亞"""
"Coast by Kayra, ""Lot G03-G05, GF, The Starhill, 181 Jalan Bukit Bintang, Bukit Bintang, Kuala Lumpur, 55100, 馬來西亞"""
"Ivy's Nyonya Cuisine, ""100-104 Jalan Kedah, George Town, 10050, 馬來西亞"""
"BM Yam Rice,""7 Jalan Murthy, Bukit Mertajam, Seberang Perai, 14000, 馬來西亞"""
"Bridge Street Prawn Noodle,""533 Lebuh Pantai, George Town, 10300, 馬來西亞"""
"Duck Blood Curry Mee,""223B Jalan Burma, George Town, 10050, 馬來西亞"""
"Jalan Ipoh Claypot Chicken Rice,""Lot 1224, 7 Jalan Batu Ambar, Taman Kok Lian, Kuala Lumpur, 51200, 馬來西亞"""
"Ravi's Famous Apom Manis,""319 Jalan Burma, George Town, 10350, 馬來西亞"""
"Moh Teng Pheow Nyonya Koay,""Jalan Masjid, off Lebuh Chulia, George Town, 10200, 馬來西亞"""
"Hot Bowl White Curry Mee,""58C Jalan Rangoon, George Town, 10400, 馬來西亞"""
"Aliyaa,""48 Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur, 50490, 馬來西亞"""
"Rasa Rasa,""59 Gat Lebuh Chulia, George Town, 10300, 馬來西亞"""
"Wan Dao Tou Assam Laksa,""1 Jalan Gottlieb, George Town, 10350, 馬來西亞"""
"Sek Yuen,""313 Jalan Pudu, Pudu, Kuala Lumpur, 55100, 馬來西亞"""
"Restoran Pik Wah,""Basement Level, MABA House, 6 Jalan Hang Jebat, Kuala Lumpur City Centre, Kuala Lumpur, 50150, 馬來西亞"""
"Lai Foong Lala Noodles,""99 Jalan Sultan, Kuala Lumpur City Centre, Kuala Lumpur, 50000, 馬來西亞"""
"Serabai Istimewa,""18 Astaka Taman Tun Sardon, 25 Pintasan Pemancar 5, George Town, 11700, 馬來西亞"""
"BM Cathay Pancake,""8 Jalan Aston, Bukit Mertajam, Seberang Perai, 14000, 馬來西亞"""
"Super Star Koay Teow Soup,""78 Lebuh Kimberley, George Town, 10100, 馬來西亞"""
"Congkak (Bukit Bintang),""24 Jalan Beremi, Bukit Bintang, Kuala Lumpur, 50200, 馬來西亞"""
"De. Wan 1958 (Taman U Thant), ""Level 2-2, The LINC KL, 360 Jalan Tun Razak, Taman U Thant, Kuala Lumpur, 50400, 馬來西亞"""
"Sin Kiew Yee Shin Kee Beef Noodles,""7a, Jalan Tun Tan Cheng Lock, Kuala Lumpur City Centre, Kuala Lumpur, 50000, 馬來西亞"""
"Communal Table by Gēn,""68 Lebuh Presgrave, George Town, 10300, 馬來西亞"""
"Thara,""5 Lorong Prangin, George Town, 10100, 馬來西亞"""
"Green House Prawn Mee & Loh Mee (223 Jalan Burma),""223 Jalan Burma, George Town, 10050, 馬來西亞"""
"Sao Nam,""25 Tengkat Tong Shin, Bukit Bintang, Kuala Lumpur, 50200, 馬來西亞"""
"Winn's Cafe,""38 Jalan Cantonment, George Town, 10350, 馬來西亞"""
"Ah Boy Koay Teow Th'ng,""1 Lebuh Clarke, George Town, 10050, 馬來西亞"""
"Sardaarji,""6 Lebuh China, George Town, 10200, 馬來西亞"""
"Hing Kee Bakuteh (121 Jalan Kepong),""121 Jalan Kepong, Taman Usahawan, Kuala Lumpur, 52100, 馬來西亞"""
"Ming Qin Charcoal Duck Egg Char Koay Teow,""29 Jalan Betek, off Jalan Sungai Rambai, Bukit Mertajam, Seberang Perai, 14000, 馬來西亞"""
"Hai Kah Lang (Taman Cheras),""44 Jalan Kaskas 2, Taman Cheras, Kuala Lumpur, 56100, 馬來西亞"""
"Wong Mei Kee,""30 Jalan Nyonya, off Jalan Pudu, Pudu, Kuala Lumpur, 55100, 馬來西亞"""
"Bibik's Kitchen,""73 Jalan Sri Bahari, George Town, 10050, 馬來西亞"""
